제목,내용
2024 텍사스 인스트루먼트 코리아 여름인턴 채용 (~4/7 자정까지),"■ 모집분야
1. Technical Sales Engineer Intern (기술영업인턴) 
2. Field Application Engineer Intern (기술지원인턴)
   1) Digital FAE Intern
   2) Analog FAE Intern

■ 접수기간: 2024. 3. 4(월) ~ 4. 7(일) 자정까지■ 지원방법: TI KOREA 채용사이트 www.tikorea-recruit.com 를 통한 온라인 접수


■ 지원자격
- Digital FAE: 전기·전자 전공 및 컴퓨터 공학 전공 대학(원)생 
- Analog FAE: 전기·전자 전공 대학(원)생
- TSE: 전기·전자 전공 대학(원)생 또는 전기·전자 전공 수료 엔지니어링 전공 대학(원)생  
중 2024년 8월 또는 2025년 2월 졸업 예정자


■ 기타사항
 1) 입사지원서 및 채용전형 과정에서 허위사실이 발각될 경우는 입사가 취소될 수 있습니다. 
 2) 입사지원서는 국문으로 작성합니다. 
 3) 외국어 성적은 참고용으로만 검토하며, 공인외국어 성적이 없을 경우 이력서에 기입하지 않아도 됩니다. 
4) 문의사항은 tik_careers@list.ti.com으로 보내주시면 상세히 설명드리겠습니다."
2024년 상반기 BGF리테일 신입사원 공개채용,"◆ 상반기 온/오프라인 채용행사
참여 방법

참가 신청 페이지 접속 후 신청 설문 제출
*참가 신청 페이지 : https://linktr.ee/bgfhr

원하는 직군/직무와 행사 일정 확인 후 신청 설문 제출
프로그램별 설문 완료 시, 참가자 대상 개별 안내 예정
행사 참여 
온라인 : Zoom 링크 접속
오프라인 : 현장참여
*각 행사별 세부 일정 및 장소는 공고 이미지 참고 부탁드립니다.


◆ 모집직군
영업관리 - SC
전략기획 - 신사업
상품운영 - 상품MD
전문 - 물류(SCM) / 시설(점포시설)

◆ 전형일정
서류접수(3월 말~4월 초) → AI역량검사(4월 중) → 1차면접(5월 중) → 2차면접(5월 말) → 현장실습평가(6월 중) → 최종입사(7월 초)

※상기 일정은 회사 사정에 따라 변경될 수 있습니다.
※최종 입사 후, 직영점 매니저 근무 및 교육과정 평가 후 지원직무 배치

◆ 지원 방법
24. 03. 27일(수) ~ 04. 09일(화) 14시까지 온라인 접수
*지원서 접수 페이지 : bgf.recruiter.co.kr (채용홈페이지)

기타 상세한 지원자격 및 모집 내용은 하기 채용 공고 이미지 확인 부탁드립니다."
(한국산업인력공단)통역봉사자 모집,"- 활동 기간 : '24년 5월 ~ 9월, 약 5개월 (최소 월 1회 오프라인 활동 + 대회 기간 프랑스 동행)
- 자격 요건 : '24. 9. 4.(수) ~ 9. 17.(화) 기간 대회 참가가 가능하며 해외여행에 결격 사유가 없는 자
- 수행 역할 : 대한민국 국가대표 선수단 담당 직종의 통·번역 업무 전반 (대회 규정 번역, 영문 이메일 작성 지원, 경기 운영 통역 등)
- 지원 사항 : 대회 참가 경비(항공권 및 숙식), 대회 기간(9. 10.~15.) 내 통역 수당 등
- 모집 기간 : '24. 3. 15.(금) ~ 4. 2.(화) 24:00

자세한 사항은 첨부된 공고문 참고하시고, 그 외 문의사항은 wsk_master@hrdkorea.or.kr로 보내주시기 바랍니다."
[SAP Korea] SYNC 아카데미 5기 모집 (~5/9) 11:00,"(SAP Korea) SYNC 아카데미 5기 모집

글로벌 기업용 소프트웨어 기업과 함께
실무형 IT개발자로 성장할 인재를 찾습니다!!

SAP 개발자로의 첫 걸음!
취업 연계형 IT개발자 양성 과정


◆ 과정명 | SAP YOUNG NEXT CLOUD(SYNC) 아카데미

◆ 모집인원 | 서울(125명) / 부산(25명)

◆ 모집기간 | 2024.03.26(화) ~ 2024.05.09(목) 오전 11시까지

◆ 교육기간 | 2024.07.01(월) ~ 2024.12.24(화) / 주 5일(월~금) 09:30 ~ 18:30

◆ 지원자격 |

- 취업을 희망하는 대한민국 국적의 미취업 청년
* 24년 6월 7일 최종합격자 발표일 이전 모든 행정 처리(고용보험 해지)가 완료된 자
- 졸업 혹은 졸업 예정 대학(교) 졸업(예정)자
* 2025년 2월 이내 졸업 가능자 (잔여학점 6학점 이하만 지원 가능)
* 재학생의 경우 월~금, 09:30 ~ 18:30 내 본 수업을 수강할 수 있는 자
- 국민 내일배움카드 보유 또는 발급 가능자
* 24년 6월 7일(최종합격자 발표) 이후 내일배움카드 미 보유시 합격 취소
* K-Digital Training 무료 수강이 가능한 자
※ 내일배움카드 관련 문의는 관할 고용센터에 직접 문의

◆ 주요일정 |

- 서류전형 : 3/26 ~ 5/9 11:00
- 서류전형 합격자 발표 : 5/14 18:00 이내
- 1차 면접(기술면접) : 5/20 ~ 5/24
- 1차 면접 합격자 발표 : 5/27 18:00 이내
- 2차 면접(인성면접) : 5/29 ~ 6/4
- 최종 합격자 발표 : 6/7 18:00 이내

◆ 지원방법 | SYNC 아카데미 홈페이지 내 지원

- SYNC 아카데미 홈페이지 : https://sap-sync.com

◆ 교육문의 |

- E-mail : youngtalent.korea@sap.com
- Tel : 02-2194-4073 / 02-2194-2260
- Kakaotalk : @sapsync아카데미"
이수그룹 신입 공개채용 (~4/15(월) 오전 10시까지),"어서오이수

이수그룹 신입 공개채용

 

 

어서오세요!채용분야와 전형을 좀 더 알아볼까요?

 

다양한 직무에서 여러분을 기다리고 있습니다!그리고 심플하게 끝나는 전형이에요.

 

 

 신입사원 모집요강





회사

직무

세부업무 및 우대사항

근무지



이수화학

기획

[직무내용]• 중장기 전략수립 및 경영실적 관리
• 산업분석 및 신사업 투자검토 등

서울



이수
스페셜티
케미컬

EPC(전기)

[직무내용]
• 신규 사업 타당성 검토 업무(투자비 산출 및 일정 수립)
• 설계/자재 구매/공사 등 프로젝트 관리 수행
 
[우대사항]
• 전기/전자 관련 전공 및 자격증

울산



공정

[직무내용]
• 공정설계 진행 및 검토
• 프로젝트 실행
 
[우대사항]
• 화학공학 관련 전공 및 자격증



이수페타시스

인사

[직무내용]
• 인사기획 및 제도개선
• 채용 및 채용브랜딩,사내교육 기획 및 운영 등

대구



구매

[직무내용]
• 가격협상/원가절감,원부자재 조달
• 공급업체 관리 및 설비투자/공사 등



생산관리

[직무내용]
• 생산관리 프로세스 관리 및 개선
• 장비 이동 및 증설 관련 대응업무 등



기술엔지니어

[직무내용]
• 공정 조건 최적화 및 공정Capacity관리
• 설비 신규투자 검토 및 기술지원 등

[우대사항]
• 화공/전기/금속 관련 전공 및 자격증



품질엔지니어

[직무내용]
• 품질관리 및 안정화,고객사 대응 및 품질개선
• 현장 관리기준 표준화 및 공정 품질 모니터링 등




※ 전공 및 우대사항은 필수요건이 아닙니다


 

 

 모집기간

· ‘24년 3월 26일(화) ~ 4월 15일(월) 10:00AM

 

 

 지원방법

· recruit.isu.co.kr 에서 온라인 지원

 

 

 지원자격

· 국내/외 4년제 대학 기졸업자 및 졸업예정자 병역필

또는 면제자로 해외여행에 결격사유가 없는 자

※ 장애인/보훈대상자는 관련 법령에 따라 우대합니다.

※ 입사지원 기재 내용 또는 제출서류 중 허위 사실이 있는 경우에는 합격 및 입사가 취소될 수 있습니다.

 

 

 채용절차

서류전형(발표 : 4월말)  실무진면접(5월 둘째주)  CEO면접(5월말 )  최종합격(발표 : 6월 둘쨰주)

 

 

 Q&A

· 채용홈페이지(recruit.isu.co.kr) - 마이페이지 - Q&A

 

 

 채널

· 유튜브 - ‘이수그룹 채용’ 검색"
2024년 KT 대졸신입 채용,"2024년 KT 대졸신입 채용


 지원서 접수기간 : ‘24년 3월 19일(화) 10시 ~ 4월 1일(월) 16시

 분야 별 채용직무 안내
IT기술 분야





직무

수행업무 및 우대요건

근무지



SW개발

수행업무

AI 기반 차세대 네트워크 운용관리 시스템 개발
· AI기반 네트워크 상황인지/분석/조치 자동화 기능 개발
· 유무선 융합 초분산/초정밀 네트워크 관리 시스템 개발
· AI기반 무선 셀 시뮬레이션 등 무선 품질 분석기능 개발

서울
(우면)
/
경기
(판교)



우대요건

· AI/Cloud/IT관련 지식
· 컴퓨터 네트워킹 관련 분야 및 Java, Python 등 프로그래밍 지식
· 유무선 네트워크 개념, 데이터 통신 및 네트워크 규격 관련 지식



IT설계

수행업무

IT플랫폼 기획 및 설계
· 전사 IT OPEX 기획 및 ITO 운영정책 수립/혁신 활동
· 영업계(BSS)/운영계(OSS) 플랫폼 설계 및 기획
· Application Modernization 추진을 위한 프로젝트 기획 및 관리
· Product Manager로서 Biz협업 및 IT컨설팅

경기
(판교)



우대요건

· AI/Cloud/IT관련 지식
· 컴퓨터 네트워킹 관련 분야 및 Java, Python 등 프로그래밍 지식
· 데이터 설계 및 분석 역량
· IT서비스 아키텍처 설계 및 개발 경험



IT보안

수행업무

모의해킹/취약점 진단
· Web/App/IoT 모의해킹 및 E2E 보안 수준/우회 진단
· IT인프라/App 아키텍처 및 소스코드 분석을 통한 취약점 진단
· 침해사고 분석 및 CTI(보안위협정보) 수집/분석/조치
정보보안 기획/관리
· DevSecOps 보안 관리 프로세스 설계/구축
· Cloud/컨테이너 환경 보안 취약점 관리(진단/이행/통제) 체계 수립
· AWS 등 Cloud 보안 아키텍처 설계 및 멀티 Cloud 관리 체계 수립
보안 SW개발
· 보안업무 자동화/효율화를 위한 솔루션 개발/유지보수
· 전사 보안지표 가시화를 위한 FrontEnd 개발
· DevSecOps, AI, Cloud Native 보안 강화를 위한 솔루션 발굴/개발

경기
(판교)



우대요건

· 모의해킹 및 IT인프라 취약점 진단 역량
· MITRE ATT&CK 등 Framework 기반 보안진단/모의해킹 경험
· 보안플랫폼을 활용한 분석 효율화/프로세스 개선 경험
· 보안 아키텍처 및 보안 업무 프로세스 최적화 설계 경험
· Cloud 관련 지식, ML/AI 등 데이터 분석 역량
· Java, Python 등 프로그래밍 지식




NW기술 분야





직무

수행업무 및 우대요건

근무지



NW
인프라운용

수행업무

액세스 네트워크 개발/검증/상용화 및 품질 개선
· 5G/LTE 액세스 장비 및 신기술 개발
· 유선 인터넷 액세스 장비개발 및 검증
· 유무선액세스 서비스 품질개선 최적화 및 기술지원
코어 네트워크 개발/검증/상용화 및 품질 개선
· 5G/LTE 무선코어 장비 및 기술 개발
· 5G/LTE 신규 서비스 개발/기능검증/현장 적용
· 5G백본/IP망 시설 기술지원 및 품질 최적화
· BcN장비 기술/운용 및 품질 최적화
무선/융합/B2B단말 네트워크 정합성 검증 및 성능 개선
· 무선단말(5G/LTE/WiFi) 네트워크 연동 품질 확보
· 융합단말(홈AP/홈인터넷전화/WiFi미디어단말/하이오더단말)
상용화 및 사업지원
· B2B단말(Biz-IoT/기업인터넷전화/AI로봇) 상용화 및 사업지원
· 품질규격 정립, 품질관리 및 문제점 개선

서울
(우면)
/
경기
(고양)



우대요건

· 유무선 네트워크 개념, 데이터 통신 및 네트워크 규격 관련 지식
· 서버/네트워킹/Cloud관련 지식 및 역량
· AI/RPA 관련 역량 및 경험



NW
플랫폼운용

수행업무

디지털 방송시설 설계/운용/최적화
· 방송시설 시스템 운용 및 네트워크 관제
· 미디어 스트리밍 플랫폼/방송시설 구축 및 운용
WEB API 플랫폼 설계/운용/최적화
· 리눅스 기반 WEB/WAS/DB 시스템 운용 및 관제
· 플랫폼 네트워크 구축 운용 및 보안 관제
방송통신 시설 및 플랫폼 정보보안/개인정보 보호 활동
· 전사 정보보호 정책 적용 및 정보보호 관리체계 인증 유지
· 보안시스템 구축 및 운영, 개인정보 보호 컴플라이언스 대응

서울
(여의도)



우대요건

· 영상, 오디오 신호 및 데이터 전송에 대한 지식
· 유무선 네트워크 개념, 데이터 통신 및 네트워크 규격 관련 지식
· 주요 H/W(IBM, HP, SUN 등) 시스템 운용능력




IT컨설팅/수행 분야





직무

수행업무 및 우대요건

근무지



컨설팅/수행

수행업무

B2B, B2G ICT 솔루션/서비스 컨설팅 및 수행
· AI, Cloud, SW개발, 유/무선 통신 등 ICT 솔루션/서비스 제안 및 컨설팅
· 공공/금융/제조 등 고객 유형 별 시장 분석 및 BM(상품) 개발
· ICT분야 시장/타겟 데이터 분석 및 영업활동 지원
· 고객 요구사항 분석을 통한 제안서 작성 및 프레젠테이션
· ICT솔루션/서비스 수행 및 구축/관리

서울
(광화문,송파)
/
경기
(판교)



우대요건

· ICT 기술 전반에 대한 지식보유 및 시장 분석 역량
· 비즈니스 Writing & Speeching 역량
· 원활한 커뮤니케이션 능력




마케팅&세일즈 분야





직무

수행업무 및 우대요건

근무지



IT영업

수행업무

대기업/중견기업 고객 대상 ICT 관련 영업활동
· Industry별 ICT, AI, DX 시장정보 수집
· 고객사 니즈 파악을 통한 세일즈 전략 수립
· 영업기회 발굴 및 매출화/이익 관리
· 고객 디지털 혁신 니즈를 선제안을 통한 사업화 추진
· 고객 Care 등 고객만족활동 지원
· 다양한 내외부 관계자들과의 소통, 이해관계 조율 등의 제반업무 수행
공공, 국방, 금융고객 대상 B2B 세일즈 및 고객관리
· 공공,국방, 금융고객 신규시장 및 영업기회 발굴, 고객 Care 활동
· 관련분야 시장정보 수집을 통한 세일즈 전략 수립, 솔루션/서비스 제안
· 영업활동을 통한 사업목표 달성 및 매출/이익 관리

서울
(송파)



우대요건

· ICT 기술 전반에 대한 지식보유 및 시장 분석 역량
· 비즈니스 Writing & Speeching 역량
· 원활한 커뮤니케이션 능력




 지원자격
· 정규 4년제 대학 기졸업 또는 2024년 8월까지 졸업 가능한 자
· 남성의 경우, 병역 필 또는 면제자
· 해외여행/체류에 결격 사유가 없는 자
· 2024년 7월 중 입사 가능한 자
 채용절차
서류전형  인적성 검사  실무면접  임원면접  채용검진  최종합격
※ 채용분야에 따라 실무면접 전 온라인 코딩·직무테스트를 시행합니다. (IT기술 분야 : 코딩·직무테스트 / 그 외 분야 : 직무테스트)
※ 채용전형은 회사 사정에 의해 변경될 수 있습니다.
 지원방법 및 유의사항
· KT 채용홈페이지(recruit.kt.com)를 통한 온라인 지원만 가능합니다.
· 입사지원서 기재사항이 허위로 판명되거나 채용청탁 등 채용과 관련하여 부정행위가
확인될 경우, 합격 또는 채용이 취소되며, 향후 KT 채용에 응시할 수 없습니다.
· 지원서 작성 시 주의사항
-기재사항이 원본과 다를 경우 채용이 취소될 수 있습니다.
-학력, 자격, 어학, 수상, 경력 등은 증빙 가능한 서류가 있는 경우에만 입력하시기 바랍니다.
-학점은 학교 성적증명서에 표기된 100점 만점 환산 평균 점수(예, 80/100)를 입력하되,
100점만점 환산점수가 표기되지 않은 경우 평균 평점(예, 3.0/4.5)를 입력하시기
바랍니다.(100점 만점 임의 환산 금지)
-학점은 소수점까지 모두 정확하게 기입해야 합니다.
· 최종 배치부서는 회사의 인력계획을 고려하여 결정됩니다.
 기타사항
· 본 채용의 최종합격자에게는 학위나 경력에 관계없이 동일한 신입사원 처우를 제공합니다.
· 취업보호 대상자(보훈)는 관련 법령 및 내부 기준에 의거하여 우대합니다.
 문의처
· recruit@kt.com으로 이메일 또는 KT 채용홈페이지 Q&A게시판 이용"
[ELLT학과] 1학기 Writing tutor 모집,"우리 학과 Steve Lee 교수님의 Critical Writing (General 1, 목 78 & Honors 1, 목 56) 수업의 튜터로 활동하실 학우님들을 모집합니다.

① 모집 인원: 총 1명
② 근무 시간: 매주 1시간씩 (최대 12시간, 4월에서 6월까지)
③ 급여: 시간당 계산 (2~3만원 예정/변동 가능, 학기말 일괄 지급)
④ 지원 조건:
   (1) 2학년 이상 지원 가능
   (2) 유창한 영어 글쓰기 능력을 갖춘 자
   (3) 학생들과 원활하게 소통하며 튜터링을 잘 이끌어나갈 수 있는 자
   ※ 지원 후 교수님께서 요청 시 writing sample을 제출해야 합니다.
⑤ 근무 내용: 해당 과목의 수강 학생 한 명 이상을 대상으로 한 튜터링 제공
 
관심 있는 분들은 아래 지원 양식을 복사하여 “3월 29일(금) 낮 12시”까지 Steve Lee 교수님 이메일(steveleehufs@gmail.com)로 직접 보내주세요.

튜터 선발 완료 시 조기 마감 될 수 있으니 가급적 빨리 지원해주세요.
 
 ==========지원 양식===========
 
 1. 이름:
 
 2. 학번(학년): 예) 201000000(4학년)
 
 3. 연락처
 (1) 핸드폰 번호:
 (2) 이메일 주소:
 
 4. Critical Writing 과목 수강 여부: 예) Prof. Steve Lee's Critical Writing (Honors 1/Honors 2), A+/A+
- 본 강의를 수강했다면 교수님 성함도 함께 작성해 주세요.
 - 수강하신 강의의 평점을 함께 기재해주시면 튜터 선정 시 유리하게 작용할 수 있습니다."
[채용공고]2024 더감동팩토리 기획 및 디자인 경력직원 채용공고,"2024 더감동팩토리
기획 및 디자인 경력직원 채용공고

2024.03.20- 채용시까지

(주)더감동팩토리는 MICE 산업, 기획 및 운영 그리고 각종 홍보 마케팅 사업을 진행하는 기획 솔루션 전문 기업입니다.

[담당업무 및 지원자격]

국제회의 전시기획 (경력)
- 전시기획 및 이벤트 기획
- 현장운영 및 인력관리
- 제안서 작성
- 행사운영 결과정리

지원자격
- 학력무관
- 경력 1년이상 보우
- 원어민 수준 혹은 유사수준의 영어실력 보유
- 문서작성 프로그램 스킬 필수

디자인 (신입 및 경력 2년차 이하)
- 제안서용 키비주얼 제작
- 포스터, 인쇄물 디자인
- 카드뉴스 등 온라인 콘텐츠
- 디자인 제작 일정관리
(우대)영상 관련 스킬 보유

지원자격
- 신입 및 경력 2년차
- 그래픽툴에 능숙하신 분 (포토샵, 일러스트레이터)
- 디자인 업무 기획 및 프로젝트 진행경력 보유

[접수방법]
당사 홈페이지 > 지원서식 다운로드 >이메일 지원
E-mail: thegdfactory@thegdfactory.com
문의: 02-6953-9010

[제출서류]
이력서, 자기소개서, 경력기술서 (참여율 및 담당업무 표기)
포트폴리오 (디자인 직군만 해당)

[전형절차]
1차: 서류전형
2차: 면접

[근무조건]
정규직 (수습 3개월), 주 5일 근무, 오전 9시 30분~오후 5시 30분

[근무지]
서울시 마포구 독막로 9길 18, 서홍빌딩 5층 더감동팩토리

[오시는 길]
- 2호선 합정역 5번출구에서 도보 10분
- 6호선 상수역 1번 축구에서 도보 5분

[홈페이지 및 SNS]
홈페이지: https://thegdfactory.com/
블로그: https://blog.naver.com/thegdfactory
인스타그램: https://www.instagram.com/thegamdongfactory/
페이스북: https://www.facebook.com/thegamdongfactory"
KAIST 디지털인문사회과학부 대학원 입학생 모집,"KAIST 디지털인문사회과학부 대학원에서 석사과정 입학생을 모집합니다. 

원서 접수: 2024년 3월 29일 금요일 - 4월 11일 목요일 17:30까지
서류 제출: 2024년 4월 16일 화요일 18:00까지 (도착분에 한함)
1단계 합격자 발표: 2024년 5월 13일 14:00 이후

덧붙여, 응용언어학이나 언어교육 분야에 관심 있는 학생들은 아래 안소연 교수님(KAIST 디지털인문사회과학부 부교수) 홈페이지를 참고하여 교수님께 연락주시기 바랍니다.
https://zeuniee.notion.site/So-Yeon-Ahn-7f0e9415999f439da4b3cd8b033e69a0?pvs=4"
종로유학원 2024 유학박람회 (3/30~3/31),"내용

종로유학원 2024 유학박람회



일시·장소

서울) 3월 30일 (토)~31일 (일) 코엑스 3층
부산) 3월 30일 (토) 부산 서면지사



홈페이지

박람회 무료 참가신청 https://csaf.coei.com



참여국가

총9개국
(미국, 캐나다, 영국, 아일랜드, 몰타, 호주, 뉴질랜드, 필리핀, 일본)



문의처

종로유학원 ㅣ 02-599-8591"
[한화생명] 2024년 하반기 신입사원 채용 및 외국인 유학생 신입 채용,"[한화생명] 2024년 하반기 신입사원 채용


■Break Fast 전형은?

여름방학(6주) 인턴십 이후, 2025년 1월에 입사하는 전형으로 입사 5개월 전 Fast하게 취업확정 받고, 나를 위한 Break를 가져보세요.!



■채용소개

1. Simple : 

-최대 2개 직무까지 복수지원 가능

-자기소개서 문항 3가지

-인적성 시험 없이 면접전형

*지원부터 면접까지 간단한 채용!



2. Break

-취업 후 5개월간 나를 위한 시간이 주어집니다.

*마음편한 급하지 않은 채용!



3. Fast

-학부기간이 남아 있어도 인턴십 및 예비한화인 가능

*조기 확정형 채용



■지원자격

-2024년 여름방학(6주) 인턴실습 후, 2025년 1월 입사 가능한 자

-학사 이상 기졸업자, 재학생일 경우 2025년 2월 중 졸업 가능한 자

-병역필 또는 면제자로 해외여행에 결격사유가 없는 자



■서류모집

2024. 4. 1(월) - 4. 15(월) 15:00 까지



■채용분야

전직무(영업마케팅, 상품개발, 보험계리, 투자, IT개발, 데이터분석, 보험지원, 경영지원, 글로벌)



■채용정보

채용설명회 참여신청하기▶https://www.careertalk.kr/pin/1561159

채용 상세정보 확인하기▶https://www.recruit-hanwhalife.co.kr/

*런치 채용설명회 사전 신청 시, 위트앤미트 및 음료 제공!

**경품추첨 진행 예정!



[한화생명] 2024년 하반기 외국인 유학생 신입 채용



[Hanwha Life 2024 Global Recruitment for Foreigners]

 

1.    채용전형: Break Fast(조기 취업 확정형) 채용전형

-2024년 여름방학 기간 중 6주간 인턴실습  → 인턴실습 종료 후 8월 중 취업확정

→ 2024년 9~12월 리텐션 진행 → 2025년 1월 입사 진행

 

2.    지원자격

-2024년 여름방학기간 동안 인턴실습 후, 2025년 1월 입사가 가능한 자

- 국내 대학 학사 이상 기졸업자 또는 2025년 2월 졸업예정자

-외국국적 보유자로, 한국에서의 인턴근무를 위한 비자 허가 및 신고가 가능한 자

-한국어 능력시험 TOPIK 4급 이상 또는 사회통합프로그램 KIIP 4단계 이상 이수자

 

3.    서류모집: 4.1(월)~4.15(월) 15시까지

 

4.    채용분야: Global Business



5.    기타사항

-재학생일 경우, 시간제 취업 활동 허가를 위한 지원을 진행할 예정입니다.

-채용연계형 인턴십으로, 인턴이후 우수인재에 대해서 신입사원 정규직 채용이 진행됩니다.

-인턴십의 경우 하루 8시간, 주 5일 여의도 63빌딩에서 진행되며, 인턴십 활동비가 지급됩니다.

 

6.    채용 상세정보 확인: https://www.recruit-hanwhalife.co.kr/en"
